iter	Passed	Remaining
462	774	898
463	777	897
464	778	895
465	779	893
466	781	891
467	782	889
468	784	887
469	785	885
470	787	884
471	789	883
472	791	881
473	792	879
474	793	877
475	795	875
476	796	873
477	797	870
478	799	869
479	801	868
480	802	866
481	804	864
482	805	862
483	807	860
484	808	858
485	809	856
486	810	853
487	811	851
488	813	850
489	815	849
490	817	847
491	818	845
492	819	843
493	821	841
494	822	839
495	823	837
496	825	835
497	827	834
498	829	832
499	830	830
500	832	828
501	833	826
502	835	825
503	836	823
504	838	821
505	839	820
506	841	818
507	843	816
508	844	814
509	845	812
510	846	810
511	847	808
512	849	806
513	850	804
514	852	803
515	854	801
516	855	799
517	856	796
518	857	795
519	859	793
520	860	790
521	861	788
522	863	787
523	864	785
524	866	783
525	867	782
526	869	779
527	870	778
528	871	775
529	873	774
530	874	772
531	875	770
532	876	768
533	878	766
534	880	765
535	881	763
536	882	761
537	883	759
538	885	757
539	886	755
540	887	752
541	888	750
542	890	749
543	892	747
544	893	745
545	894	743
546	895	741
547	897	739
548	898	737
549	899	735
550	900	733
551	902	732
552	903	730
553	904	728
554	906	726
555	907	724
556	908	722
557	909	720
558	911	718
559	912	716
560	913	714
561	914	712
562	915	710
563	917	709
564	918	707
565	920	705
566	924	705
567	926	704
568	927	702
569	929	700
570	930	699
571	932	697
572	933	695
573	934	693
574	936	692
575	938	691
576	941	690
577	943	688
578	945	687
579	947	686
580	949	684
581	950	682
582	952	681
583	954	679
584	955	677
585	957	676
586	958	674
587	975	683
588	976	681
589	977	679
590	978	677
591	979	675
592	980	673
593	982	671
594	983	669
595	984	667
596	986	665
597	988	664
598	989	662
599	990	660
600	991	658
601	993	656
602	994	654
603	995	652
604	997	651
605	999	649
606	1001	648
607	1002	646
608	1003	644
609	1004	642
610	1006	641
611	1007	639
612	1009	637
613	1011	636
614	1013	634
615	1014	632
616	1016	630
617	1017	629
618	1019	627
619	1021	626
620	1023	624
621	1025	622
622	1026	621
623	1027	619
624	1029	617
625	1030	615
626	1031	613
627	1033	612
628	1034	610
629	1036	608
630	1038	607
631	1039	605
632	1040	603
633	1041	601
634	1043	599
635	1044	597
636	1046	596
637	1048	594
638	1050	593
639	1052	592
640	1053	590
641	1055	588
642	1057	586
643	1058	585
644	1059	583
645	1061	581
646	1063	580
647	1065	578
648	1066	577
649	1068	575
650	1069	573
651	1071	571
652	1072	569
653	1073	568
654	1076	567
655	1078	565
656	1079	563
657	1080	561
658	1082	560
659	1084	558
660	1085	556
661	1086	554
662	1088	553
663	1090	551
664	1092	550
665	1093	548
666	1094	546
667	1096	544
668	1097	543
669	1099	541
670	1101	540
671	1103	538
672	1106	537
673	1108	536
674	1111	534
675	1114	533
676	1117	533
677	1119	531
678	1121	530
679	1123	528
680	1129	529
681	1131	527
682	1133	526
683	1136	524
684	1137	523
685	1139	521
686	1142	520
687	1145	519
688	1147	518
689	1149	516
690	1151	514
691	1152	513
692	1154	511
693	1156	510
694	1158	508
695	1160	506
696	1162	505
697	1163	503
698	1164	501
699	1166	499
700	1167	498
701	1169	496
702	1170	494
703	1171	492
704	1173	490
705	1174	489
706	1175	487
707	1177	485
708	1179	483
709	1180	482
710	1182	480
711	1185	479
712	1189	478
713	1194	478
714	1196	476
715	1197	475
716	1199	473
717	1200	471
718	1201	469
719	1203	468
720	1205	466
721	1206	464
722	1207	462
723	1208	460
724	1210	459
725	1211	457
726	1212	455
727	1214	453
728	1215	451
729	1217	450
730	1219	448
731	1220	446
732	1221	444
733	1222	443
734	1223	441
735	1225	439
736	1227	437
737	1230	436
738	1231	434
739	1233	433
740	1234	431
741	1235	429
742	1236	427
743	1237	425
744	1239	424
745	1240	422
746	1242	420
747	1243	419
748	1245	417
749	1246	415
750	1247	413
751	1248	411
752	1250	410
753	1251	408
754	1252	406
755	1253	404
756	1255	403
757	1257	401
758	1258	399
759	1259	397
760	1261	396
761	1263	394
762	1264	392
763	1265	390
764	1266	389
765	1268	387
766	1270	386
767	1271	384
768	1273	382
769	1274	380
770	1276	379
771	1277	377
772	1278	375
773	1279	373
774	1280	371
775	1283	370
776	1284	368
777	1286	367
778	1287	365
779	1288	363
780	1289	361
781	1291	359
782	1292	358
783	1293	356
784	1295	354
785	1297	353
786	1298	351
787	1299	349
788	1301	347
789	1302	346
790	1303	344
791	1304	342
792	1305	340
793	1307	339
794	1309	337
795	1311	336
796	1312	334
797	1313	332
798	1314	330
799	1315	328
800	1317	327
801	1318	325
802	1319	323
803	1321	322
804	1323	320
805	1324	318
806	1326	317
807	1327	315
808	1328	313
809	1329	311
810	1330	310
811	1331	308
812	1333	306
813	1334	304
814	1337	303
815	1339	301
816	1340	300
817	1341	298
818	1342	296
819	1343	295
820	1344	293
821	1346	291
822	1347	289
823	1349	288
824	1351	286
825	1352	284
826	1353	283
827	1354	281
828	1355	279
829	1357	277
830	1358	276
831	1359	274
832	1360	272
833	1363	271
834	1364	269
835	1365	267
836	1366	266
837	1368	264
838	1369	262
839	1370	261
840	1371	259
841	1372	257
842	1374	255
843	1376	254
844	1377	252
845	1379	251
846	1380	249
847	1381	247
848	1382	245
849	1383	244
850	1384	242
851	1386	240
852	1387	239
853	1389	237
854	1390	235
855	1392	234
856	1393	232
857	1394	230
858	1395	229
859	1396	227
860	1397	225
861	1398	223
862	1400	222
863	1402	220
864	1403	219
865	1404	217
866	1405	215
867	1407	213
868	1408	212
869	1409	210
870	1410	208
871	1412	207
872	1414	205
873	1415	204
874	1416	202
875	1418	200
876	1419	199
877	1420	197
878	1421	195
879	1422	194
880	1424	192
881	1425	190
882	1426	189
883	1428	187
884	1429	185
885	1430	184
886	1432	182
887	1433	180
888	1435	179
889	1436	177
890	1437	175
891	1438	174
892	1439	172
893	1441	170
894	1443	169
895	1444	167
896	1445	165
897	1446	164
898	1447	162
899	1449	161
900	1450	159
901	1451	157
902	1452	156
903	1454	154
904	1455	152
905	1457	151
906	1458	149
907	1459	147
908	1460	146
909	1461	144
910	1463	142
911	1464	141
912	1465	139
913	1467	138
914	1469	136
915	1470	134
916	1471	133
917	1472	131
918	1473	129
919	1475	128
920	1476	126
921	1477	125
922	1478	123
923	1480	121
924	1482	120
925	1483	118
926	1484	116
927	1485	115
928	1486	113
929	1488	112
930	1489	110
931	1490	108
932	1491	107
933	1493	105
934	1494	103
935	1496	102
936	1497	100
937	1498	99
938	1499	97
939	1501	95
940	1502	94
941	1503	92
942	1504	90
943	1505	89
944	1507	87
945	1509	86
946	1510	84
947	1511	82
948	1512	81
949	1514	79
950	1515	78
951	1516	76
952	1517	74
953	1518	73
954	1520	71
955	1522	70
956	1523	68
957	1524	66
958	1525	65
959	1526	63
960	1527	62
961	1529	60
962	1530	58
963	1531	57
964	1533	55
965	1535	54
966	1537	52
967	1539	50
968	1541	49
969	1542	47
970	1544	46
971	1547	44
972	1548	42
973	1550	41
974	1551	39
975	1552	38
976	1553	36
977	1554	34
978	1556	33
979	1557	31
980	1559	30
981	1560	28
982	1561	27
983	1562	25
984	1563	23
985	1564	22
986	1565	20
987	1566	19
988	1567	17
989	1568	15
990	1570	14
991	1571	12
992	1572	11
993	1573	9
994	1574	7
995	1575	6
996	1576	4
997	1577	3
998	1578	1
999	1579	0
